data,target
[4 2 3 5 6 3 2 4 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4 ],0
[4 0 3 5 6 3 2 4 1 1 1 1 1 1 1 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4 ],0
[4 2 3 5 0 3 2 4 1 1 1 1 1 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -4 -2 -3 -5 -6 -3 0 -4 ],0
[4 0 3 5 6 3 2 4 1 1 1 1 1 0 1 1 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -2 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -4 -2 -3 -5 -6 -3 0 -4 ],0
[4 2 3 5 6 3 2 4 1 1 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 -2 0 0 -1 -1 0 -1 -1 -1 -1 -1 -4 -2 -3 -5 -6 -3 0 -4 ],0
[4 2 3 5 0 3 2 4 1 1 1 1 1 0 1 1 0 0 0 0 0 6 0 0 0 0 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 -2 0 0 -1 -1 0 -1 -1 -1 -1 -1 -4 -2 -3 -5 -6 -3 0 -4 ],0
[4 2 3 5 6 3 2 4 1 1 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 -1 0 0 0 0 0 -2 0 0 0 0 -2 0 0 -1 -1 0 -1 -1 -1 -1 -1 -4 0 -3 -5 -6 -3 0 -4 ],0
[4 2 3 5 0 3 2 4 1 1 1 1 1 6 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 -2 0 0 0 0 -2 0 0 -1 -1 0 -1 -1 -1 -1 -1 -4 0 -3 -5 -6 -3 0 -4 ],0
[4 2 3 5 6 3 2 4 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 -1 0 0 0 0 0 -2 0 0 0 -1 -2 0 0 -1 -1 0 -1 0 -1 -1 -1 -4 0 -3 -5 -6 -3 0 -4 ],0
[4 0 3 5 6 3 2 4 1 1 0 1 1 0 1 1 2 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 -1 0 0 0 0 0 -2 0 0 0 -1 -2 0 0 -1 -1 0 -1 0 -1 -1 -1 -4 0 -3 -5 -6 -3 0 -4 ],0
[4 2 3 0 6 3 2 4 1 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 5 0 1 0 0 1 0 1 0 0 -1 0 0 0 0 0 -2 -5 0 0 -1 -2 0 0 -1 -1 0 -1 0 -1 -1 -1 -4 0 -3 0 -6 -3 0 -4 ],0
[4 2 3 0 6 3 2 4 1 1 5 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 -1 0 0 0 0 0 -2 -5 0 0 -1 -2 0 0 -1 -1 0 -1 0 -1 -1 -1 -4 0 -3 0 -6 -3 0 -4 ],0
[4 0 3 0 6 3 2 4 1 1 0 1 1 0 1 0 2 0 0 0 0 0 0 0 5 0 1 0 0 1 0 1 0 0 -1 0 0 0 0 0 0 -5 0 0 -1 -2 0 0 -1 -1 0 -1 0 -1 -1 -1 -4 -2 -3 0 -6 -3 0 -4 ],0
[4 2 3 0 6 3 2 4 1 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 5 0 1 0 0 1 0 1 0 0 -1 0 0 0 0 0 0 -5 0 0 -1 -2 0 0 -1 -1 0 -1 0 -1 -1 -1 -4 -2 -3 0 -6 -3 0 -4 ],0
[4 2 3 5 6 3 2 4 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 0 -1 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4 ],0
[4 2 3 5 6 3 2 4 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4 ],0
[4 2 3 5 6 3 2 4 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 0 -1 -1 -1 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4 ],0
[4 2 3 5 6 3 2 4 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 0 -1 -1 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4 ],0
[4 2 3 5 6 3 2 4 1 1 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 -1 -1 -1 -1 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4 ],0
[4 2 3 5 6 3 2 4 1 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 0 -1 -1 -1 -1 -1 -1 -4 -2 -3 -5 -6 -3 -2 -4 ],0
[4 2 3 5 6 3 2 4 1 1 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 -2 0 0 0 0 0 -1 -1 -1 -1 -1 -1 -1 -1 -4 0 -3 -5 -6 -3 -2 -4 ],0
